:START_ID,:END_ID,:TYPE
82d2608feefd8cf7efc2e28451cd2adb,000026.SZ,employee
43bb10b58805f187dd74d5fd0e089754,000090.SZ,employee
48cf4a6a614e8b88df95f736f78f0527,000090.SZ,employee
f95c10e219afafcce1b2258d3ba3d9f1,000045.SZ,employee
f316600a8227a19ca35d38ef497408fe,000045.SZ,employee
43f345a2cf23cf921eb7854c9594f7c0,000428.SZ,employee
a11e9620d4f28732e352f584add5e4e4,000096.SZ,employee
ab686ea85c17ddbdd0e89ef4113fb62a,000423.SZ,employee
615d44f9298620e95627b31a0afc7653,000059.SZ,employee
da2e337f5dec58fc2209b220cfb5253c,000045.SZ,employee
a350f1901e2a6f5c3a9e584e974228c9,000026.SZ,employee
055d19c43d8d7df9e43b094f2554252d,000026.SZ,employee
c6464d05274f731ac3c363e9d991920a,000096.SZ,employee
184249944c755b13165e58699488f7c6,000001.SZ,employee
c72faba5704777d68dde8bb49d7c33cd,000001.SZ,employee
5ba1972a5e8ed48b8829a0ae348bd316,000001.SZ,employee
0d372ba87bb2596e7772b8e63676ddc1,000001.SZ,employee
1b664afb684798fdcc7f80ceaf9c516e,000001.SZ,employee
1af78261a03713b7724dd500440349ca,000001.SZ,employee
d231e8fb60db3819765b1296e6d72364,000001.SZ,employee
c8d32e5a01c1360b3ca4461e6fcb8a0f,000001.SZ,employee
d59bd00f02fdb8096371a30ef330bd7b,000001.SZ,employee
72a1f99b9c9898ad5019f9d65236d3f8,000001.SZ,employee
5caf58ec30785745632f6a584bcd32d6,000001.SZ,employee
3c9a8ee8b71863e3e50e103bcb270a82,000001.SZ,employee
07d38d4b4bb87ccb0a8c094c637e035e,000001.SZ,employee
6f0cffc7b68d0f812f9ffedb14dbeb7e,000001.SZ,employee
0b483c0d805ce43828e2966f7cfb766d,000001.SZ,employee
c30d9b44263a3054656fc0cfe844a0ff,000001.SZ,employee
bd31e2961b81aa5b0ddb3ee4945fe388,000001.SZ,employee
bd86544833eaef83c999b656f313565c,000001.SZ,employee
034d73931dcf6455aa2b838e50f2ee38,000001.SZ,employee
63b848f5b36aed2b6ade413983fcca6d,000001.SZ,employee
3035f8faa65a017847c4322edd83c538,000001.SZ,employee
40c292c132e496a61f136325906833a5,000001.SZ,employee
46376ea868d8258754ff222f4b64332a,000001.SZ,employee
53b48711ea673eca05dfc686deb2212a,000001.SZ,employee
4db06b804201d481078b76ccd2acbf88,000001.SZ,employee
bee199d27f080fec59d2bc3d8de2aa6f,000400.SZ,employee
ceef535bb89c25a6bfb9f8af8fb5955f,000502.SZ,employee
026497e71607377a2657105b08f2e384,000488.SZ,employee
52c76d9ec639239098563e8a3953ff52,000301.SZ,employee
99c62f7486f22d12897b878656a2e314,000301.SZ,employee
ae857221a40976a5a8cbdaca3b8aa400,000301.SZ,employee
1bbafcd1123d49db6a648c16b9270c1d,000301.SZ,employee
ca282c8e7a83b6eef65ec962ffc535a0,000301.SZ,employee
