,ts_code,ann_date,end_date,bps,diluted_eps,diluted_roe,open_net_assets,operate_profit,total_assets,yoy_sales,yoy_tp
75,000626.SZ,20200414,20191231,,0.31,6.25,,280378600.0,6853027900.0,,
76,000630.SZ,20200415,20191231,,0.08,4.66,,1396221090.24,47970071453.73,,
77,000633.SZ,20200415,20191231,,-0.0165,-3.97,,-12673264.09,1115529108.22,,
78,000637.SZ,20200415,20191231,,0.17,8.97,,141354700.0,1496647900.0,,
79,000651.SZ,20200415,20191231,,4.1,25.71,,29021000000.0,280856000000.0,,
80,000656.SZ,20200304,20191231,,1.05,23.93,,8621616000.0,321608256700.0,,
81,000659.SZ,20200415,20191231,,0.0141,2.61,,94934658.87,2376706781.27,,
82,000663.SZ,20200415,20191231,,-0.7,-33.8,,-256971600.0,2577897300.0,,
83,000668.SZ,20200415,20191231,,0.25,4.52,,99644599.5,2713537312.07,,
84,000669.SZ,20200415,20191231,,-1.83,-65.58,,-1267690600.0,9233786000.0,,
85,000671.SZ,20200121,20191231,,0.9,18.46,,6953259200.0,309401423500.0,,
86,000673.SZ,20200415,20191231,,-0.7008,-76.73,,-338423658.48,1685555987.69,,
87,000676.SZ,20200415,20191231,,0.4922,9.89,,659565136.25,9258490861.59,,
88,000678.SZ,20200415,20191231,,0.03,1.03,,11297429.0,2695178079.47,,
89,000679.SZ,20200415,20191231,,-0.99,-46.71,,-379920600.0,4475488700.0,,
90,000683.SZ,20200415,20191231,,0.18,6.85,,1123925028.78,23478468596.48,,
91,000686.SZ,20200118,20191231,,0.43,6.63,,1287450000.0,68589970000.0,,
92,000691.SZ,20200415,20191231,,-0.0315,12.69,,-10324565.69,240530344.63,,
93,000695.SZ,20200415,20191231,,0.0624,3.73,,48327096.28,975787382.85,,
94,000697.SZ,20200415,20191231,,-2.3056,-67.36,,-1568903000.0,3638328400.0,,
95,000700.SZ,20200415,20191231,,0.122,4.36,,131236092.96,7849164071.81,,
96,000703.SZ,20200330,20191231,,1.1,14.86,,4796708800.0,85063498400.0,,
97,000711.SZ,20200415,20191231,,-1.04,-22.97,,-1062007814.7,13189366275.11,,
98,000716.SZ,20200415,20191231,,0.044,1.2,,30629700.0,5298112800.0,,
99,000719.SZ,20200121,20191231,,0.8,10.26,,823861800.0,12274048900.0,,
100,000720.SZ,20200415,20191231,,0.3895,20.62,,681348700.0,4627101500.0,,
101,000723.SZ,20200415,20191231,,0.23,12.59,,1494321636.66,19639966221.44,,
102,000728.SZ,20200115,20191231,,0.27,3.67,,1104878000.0,83934096800.0,,
103,000731.SZ,20200414,20191231,,0.146,3.04,,97579875.52,3820401788.93,,
104,000750.SZ,20200122,20191231,,0.12,3.6,,723627944.69,66317489820.23,,
105,000752.SZ,20200415,20191231,,-1.2577,-157.84,,-288930127.84,942636434.32,,
106,000756.SZ,20200114,20191231,,0.48,10.58,,388157000.0,6431058000.0,,
107,000757.SZ,20200415,20191231,,0.24,8.97,,173410923.02,3119831188.04,,
108,000759.SZ,20200415,20191231,,0.02,0.31,,122165031.99,9209898859.95,,
109,000762.SZ,20200415,20191231,,0.1621,4.1841,,68317590.84,2863561158.82,,
110,000767.SZ,20200415,20191231,,0.0221,0.9,,20931471.02,50935982708.41,,
111,000777.SZ,20200229,20191231,,0.3409,9.19,,129462100.0,2420910800.0,,
112,000780.SZ,20200414,20191231,,-0.08,-1.95,,-68639800.0,4845531400.0,,
113,000782.SZ,20200414,20191231,,0.05,1.72,,57281000.0,2677822500.0,,
114,000792.SZ,20200415,20191231,,-16.4219,,,-44813641400.0,22399138800.0,,
115,000796.SZ,20200416,20191231,,0.1547,5.56,,196344400.0,6611200300.0,,
116,000802.SZ,20200415,20191231,,-3.3322,-61.57,,-2402681400.0,4564543500.0,,
117,000803.SZ,20200415,20191231,,-1.39,,,-241147700.0,446756000.0,,
118,000806.SZ,20200415,20191231,,-1.0546,-142.63,,-907207740.35,1775077842.18,,
119,000811.SZ,20200415,20191231,,0.68,14.47,,539387282.22,7432183983.2,,
120,000815.SZ,20200415,20191231,,0.07,2.47,,54343661.34,3288998667.74,,
121,000818.SZ,20200116,20191231,,0.46,12.58,,364289400.0,4235506500.0,,
122,000825.SZ,20200415,20191231,,0.372,6.79,,2150178400.0,69548212700.0,,
123,000829.SZ,20200414,20191231,,0.05,2.06,,86238200.0,13515196100.0,,
124,000836.SZ,20200415,20191231,,0.0339,3.27,,50116600.0,2569281100.0,,
125,000837.SZ,20200415,20191231,,-0.4291,-12.59,,-301253800.0,8584163700.0,,
126,000850.SZ,20200415,20191231,,0.21,4.72,,233655900.0,7543318700.0,,
127,000852.SZ,20200414,20191231,,0.0321,1.4,,55219096.27,8853956069.09,,
128,000863.SZ,20200415,20191231,,0.21,4.91,,298656100.0,12826876800.0,,
129,000881.SZ,20200411,20191231,,0.1002,1.8,,70450253.87,11428362769.21,,
130,000882.SZ,20200415,20191231,,0.018,0.6,,66584157.3,13897271436.76,,
131,000885.SZ,20200415,20191231,,1.2574,21.62,,895706400.0,8997503700.0,,
132,000886.SZ,20200415,20191231,,0.07,2.32,,83620900.0,3258949500.0,,
133,000888.SZ,20200415,20191231,,0.4292,9.27,,268647500.0,3076145900.0,,
134,000889.SZ,20200415,20191231,,-1.8452,-41.59,,-1209986000.0,3924717300.0,,
135,000890.SZ,20200415,20191231,,-2.0482,,,-746275962.48,4788102718.79,,
136,000893.SZ,20200415,20191231,,0.0549,1.14,,94570651.21,4219458439.08,,
137,000899.SZ,20200415,20191231,,0.2493,5.16,,328100200.0,7351571300.0,,
138,000901.SZ,20200415,20191231,,0.2616,3.91,,202853459.46,7007661704.85,,
139,000910.SZ,20200415,20191231,,1.29,15.46,,850335300.0,8005526700.0,,
140,000917.SZ,20200415,20191231,,0.08,1.01,,133770700.0,22465326800.0,,
141,000918.SZ,20200415,20191231,,0.07,3.54,,391333242.19,18985862195.97,,
142,000925.SZ,20200415,20191231,,0.26,5.9,,163513000.0,7361028300.0,,
143,000928.SZ,20200415,20191231,,0.4228,10.75,,641365700.0,18343700900.0,,
144,000930.SZ,20200414,20191231,,0.3209,6.21,,659959372.3,17156862702.52,,
145,000931.SZ,20200415,20191231,,0.1264,5.67,,126999087.66,3582049241.72,,
146,000936.SZ,20200411,20191231,,0.59,10.82,,796235557.35,13125510908.08,,
147,000948.SZ,20200415,20191231,,0.1844,3.85,,92494201.54,4036309024.28,,
148,000950.SZ,20200415,20191231,,0.46,10.11,,1118067500.0,25479952300.0,,
149,000953.SZ,20200415,20191231,,-0.2072,,,-62844300.0,344683600.0,,
150,000955.SZ,20200415,20191231,,0.009,0.79,,-624800.0,1190945900.0,,
151,000960.SZ,20200415,20191231,,0.5126,6.92,,1361235026.37,35137313216.2,,
152,000962.SZ,20200415,20191231,,0.0934,3.58,,36580000.0,1645240000.0,,
153,000966.SZ,20200410,20191231,,0.517,15.12,,816204075.11,9576183048.16,,
154,000968.SZ,20200415,20191231,,0.58,13.56,,659854100.0,8873843800.0,,
155,000970.SZ,20200415,20191231,,0.19,4.41,,330741300.0,6464736900.0,,
156,000971.SZ,20200415,20191231,,-0.53,-36.99,,-608662350.13,2425054303.0,,
157,000972.SZ,20200411,20191231,,0.0065,1.13,,16529645.64,740282440.65,,
158,000982.SZ,20200415,20191231,,-1.472,112.21,,-1096781172.44,1264634356.31,,
159,000985.SZ,20200414,20191231,,0.35,8.1,,41495300.0,741035200.0,,
160,000988.SZ,20200415,20191231,,0.5,8.52,,585328700.0,9611537300.0,,
161,000990.SZ,20200411,20191231,,0.3802,2.84,,484169000.0,24056061600.0,,
162,000997.SZ,20200415,20191231,,0.6762,12.39,,789317600.0,12251653000.0,,
163,000998.SZ,20200415,20191231,,-0.2291,-4.72,,-153550000.0,15434930000.0,,
164,001872.SZ,20200331,20191231,,1.59,8.71,,10324804800.0,156696917800.0,,
165,001979.SZ,20200414,20191231,,1.99,21.38,,26319993200.0,617688088300.0,,
166,002001.SZ,20200228,20191231,,1.03,13.52,,2590188500.0,28541437400.0,,
167,002004.SZ,20200227,20191231,,0.31,6.78,,1173795325.31,26634687621.84,,
168,002005.SZ,20200415,20191231,,0.1439,10.66,,276600564.2,5418441522.45,,
169,002006.SZ,20200227,20191231,,-0.24,-11.19,,-110721915.83,1740342550.24,,
170,002007.SZ,20200229,20191231,,0.9182,19.89,,1615198890.76,7931121506.2,,
171,002008.SZ,20200229,20191231,,0.63,7.74,,637722909.25,17922845053.35,,
172,002009.SZ,20200228,20191231,,0.19,3.46,,68188227.15,5881202126.4,,
173,002010.SZ,20200229,20191231,,0.47,11.56,,1646513892.87,30373088001.34,,
174,002011.SZ,20200228,20191231,,0.15,6.0,,179669442.09,8710085339.19,,
175,002012.SZ,20200227,20191231,,0.1,3.67,,74434080.63,1846348776.74,,
176,002013.SZ,20200227,20191231,,0.27,10.0,,1237527328.03,28287762999.05,,
177,002015.SZ,20200311,20191231,,0.406,12.88,,1144008100.0,24066861300.0,,
178,002016.SZ,20200310,20191231,,1.0883,30.39,,1186472129.13,8707015339.36,,
179,002017.SZ,20200228,20191231,,0.09,3.0,,45030213.88,2103106450.15,,
180,002019.SZ,20200228,20191231,,0.75,12.94,,1090375341.79,11081832715.01,,
181,002020.SZ,20200227,20191231,,0.727,14.4,,581307462.31,5964702892.24,,
182,002022.SZ,20200229,20191231,,0.3967,8.88,,335935589.77,3755735070.75,,
183,002023.SZ,20200229,20191231,,0.1,2.02,,73092842.56,7066756920.09,,
184,002024.SZ,20200314,20191231,,1.2,12.94,,16143914000.0,238417085000.0,,
185,002025.SZ,20200229,20191231,,0.94,14.14,,496140102.65,5589849683.23,,
186,002026.SZ,20200228,20191231,,-0.28,-4.9,,-79977390.22,2881286771.83,,
187,002027.SZ,20200228,20191231,,0.13,13.76,,2386000000.0,18701000000.0,,
188,002028.SZ,20200114,20191231,,0.75,11.8,,610433488.66,8776150110.83,,
189,002029.SZ,20200228,20191231,,0.46,5.95,,423610289.51,9232591309.51,,
190,002030.SZ,20200415,20191231,,0.12,5.24,,6202259.13,3589035082.52,,
191,002032.SZ,20200227,20191231,,2.347,30.63,,2296300923.85,11562436750.26,,
192,002033.SZ,20200229,20191231,,0.3667,8.08,,287612465.73,2857938636.72,,
193,002034.SZ,20200227,20191231,,1.0,10.8,,499540737.27,8938677475.41,,
194,002035.SZ,20200228,20191231,,0.8492,26.29,,829971737.65,6155791923.98,,
195,002037.SZ,20200317,20191231,,0.31,4.45,,249972479.52,12828757436.25,,
196,002038.SZ,20200228,20191231,,0.4956,10.92,,585998546.87,5214806811.19,,
197,002039.SZ,20200225,20191231,,0.9503,10.68,,532559587.35,15490849168.99,,
198,002040.SZ,20200229,20191231,,0.2675,4.94,,203281991.92,4656420848.93,,
199,002041.SZ,20200229,20191231,,0.0489,1.53,,-35913928.05,3703056569.91,,
200,002042.SZ,20200415,20191231,,0.27,6.07,,443896726.53,18335875515.57,,
201,002043.SZ,20200229,20191231,,0.51,23.02,,471297958.97,3766862652.74,,
202,002044.SZ,20200415,20191231,,-0.23,-13.79,,-408914812.97,19246769872.89,,
203,002045.SZ,20200229,20191231,,0.78,21.87,,398473596.0,3983401255.0,,
204,002046.SZ,20200229,20191231,,0.0552,1.07,,91838871.49,4739851197.67,,
205,002047.SZ,20200229,20191231,,0.16,5.33,,234020600.0,10145970000.0,,
206,002048.SZ,20200227,20191231,,1.57,9.86,,1526676384.36,17295311570.89,,
207,002049.SZ,20200228,20191231,,0.6669,10.12,,460919668.99,6783099130.41,,
208,002050.SZ,20200215,20191231,,0.52,16.1,,1680767400.0,14628816800.0,,
209,002051.SZ,20200229,20191231,,0.85,10.19,,1194516444.17,22045100842.26,,
210,002052.SZ,20200228,20191231,,-0.26,-38.26,,-187682558.28,957339938.51,,
211,002053.SZ,20200228,20191231,,0.3394,6.73,,343921772.28,8894933609.47,,
212,002055.SZ,20200229,20191231,,-1.2164,-24.42,,-643245413.92,10329876548.01,,
213,002056.SZ,20200229,20191231,,0.42,13.92,,769575856.33,8499573969.74,,
214,002057.SZ,20200228,20191231,,0.2373,9.88,,157676939.02,2133626840.76,,
215,002058.SZ,20200228,20191231,,-0.1,-7.63,,-12447637.05,204797222.99,,
216,002059.SZ,20200415,20191231,,0.0935,4.15,,150298386.69,6191607284.84,,
217,002060.SZ,20200228,20191231,,0.1951,7.44,,309630018.71,26052915988.4,,
218,002061.SZ,20200227,20191231,,0.57,10.07,,1147414019.91,34101286935.0,,
219,002063.SZ,20200228,20191231,,0.2671,9.66,,227025447.83,2906222044.47,,
220,002064.SZ,20200229,20191231,,0.41,21.68,,1986124872.92,16873166228.41,,
221,002065.SZ,20200228,20191231,,0.2076,6.74,,666746922.19,16947940598.52,,
222,002066.SZ,20200218,20191231,,0.098,5.18,,94337681.41,3801294880.38,,
223,002067.SZ,20200229,20191231,,0.17,4.53,,242929083.67,5672444139.51,,
224,002068.SZ,20200414,20191231,,-0.3801,-8.92,,-287465718.55,7186307826.41,,
225,002069.SZ,20200229,20191231,,-0.561,-206.31,,-155167263.29,3085453176.52,,
226,002071.SZ,20200229,20191231,,-1.8539,,,-966506091.42,1461998165.19,,
227,002072.SZ,20200414,20191231,,0.048,10.19,,-19475532.1,603478796.86,,
228,002073.SZ,20200228,20191231,,0.09,1.92,,64623409.56,8174542382.88,,
229,002075.SZ,20200229,20191231,,0.239,11.28,,1193349847.11,11515139766.8,,
230,002076.SZ,20200229,20191231,,-0.76,,,-456005586.0,735206512.0,,
231,002077.SZ,20200229,20191231,,-0.79,-15.13,,-472197726.21,5640108521.26,,
232,002078.SZ,20200228,20191231,,0.84,16.15,,2500224091.22,31939795589.67,,
233,002079.SZ,20200229,20191231,,0.1388,6.05,,165582434.95,2277579456.38,,
234,002080.SZ,20200229,20191231,,0.8255,12.4,,1554828063.87,29289243981.32,,
235,002081.SZ,20200228,20191231,,0.89,16.76,,2680711700.0,38315341300.0,,
236,002082.SZ,20200228,20191231,,0.74,11.08,,284454506.04,3769754105.92,,
237,002083.SZ,20200226,20191231,,0.61,15.33,,775163467.0,8082839320.35,,
238,002084.SZ,20200228,20191231,,0.2585,8.35,,152661727.94,3022361320.66,,
239,002085.SZ,20200229,20191231,,0.3529,12.42,,855072380.17,14030341562.96,,
240,002086.SZ,20200229,20191231,,-0.7309,-23.11,,-558708989.02,3734586085.55,,
241,002087.SZ,20200229,20191231,,0.3561,7.18,,341330164.38,9376938051.26,,
242,002088.SZ,20200228,20191231,,0.96,16.63,,381688847.78,3080764271.06,,
243,002089.SZ,20200416,20191231,,0.07,6.98,,209775823.96,2730859882.67,,
244,002090.SZ,20200228,20191231,,0.2317,7.35,,76076836.45,3835473860.78,,
245,002091.SZ,20200229,20191231,,0.6,11.69,,1970431269.16,23851823785.71,,
246,002092.SZ,20200229,20191231,,0.1594,1.81,,414852236.64,60132238753.75,,
247,002093.SZ,20200227,20191231,,0.1051,3.24,,118615462.77,4372856779.22,,
248,002094.SZ,20200228,20191231,,0.033,0.79,,162516734.55,5622768246.44,,
249,002095.SZ,20200227,20191231,,0.13,3.9,,49930001.63,1607419819.01,,
250,002096.SZ,20200227,20191231,,0.0642,1.2,,51149113.5,3640358319.1,,
251,002097.SZ,20200229,20191231,,0.4655,10.43,,642316198.44,15648435270.8,,
252,002098.SZ,20200229,20191231,,0.1484,9.0,,35587438.86,2066309601.18,,
253,002100.SZ,20200226,20191231,,0.61,16.01,,566369525.36,11121325194.65,,
254,002101.SZ,20200411,20191231,,0.06,0.68,,131165475.04,8021843427.0,,
255,002103.SZ,20200229,20191231,,0.0243,1.3,,2676120.12,1913760038.27,,
256,002104.SZ,20200229,20191231,,0.119,4.4,,91787651.34,2346843466.72,,
257,002105.SZ,20200228,20191231,,0.111,7.7,,26153901.15,1659688739.64,,
258,002106.SZ,20200228,20191231,,0.4,7.26,,324692200.0,5338245900.0,,
259,002107.SZ,20200225,20191231,,0.28,16.11,,119921600.0,1014738300.0,,
260,002108.SZ,20200228,20191231,,0.1134,4.94,,224115387.59,4694532149.07,,
261,002109.SZ,20200226,20191231,,0.1427,4.11,,183441800.0,4182186600.0,,
262,002110.SZ,20200226,20191231,,1.5,20.44,,4875154371.79,29771709900.2,,
263,002111.SZ,20200227,20191231,,0.89,11.57,,345863870.66,4830984299.21,,
264,002112.SZ,20200228,20191231,,0.05,2.66,,14366193.08,1060820638.4,,
265,002114.SZ,20200227,20191231,,0.08,1.57,,32615887.59,2230721783.95,,
266,002115.SZ,20200229,20191231,,0.2246,6.59,,224524509.28,4609365037.45,,
267,002116.SZ,20200229,20191231,,0.53,14.85,,260023453.11,4417592715.95,,
268,002117.SZ,20200228,20191231,,0.49,16.55,,312542090.01,2334943671.03,,
269,002118.SZ,20200229,20191231,,0.05,1.58,,91386593.26,10684166372.03,,
270,002119.SZ,20200229,20191231,,0.24,10.77,,113580563.15,1810230296.18,,
271,002120.SZ,20200229,20191231,,1.19,21.33,,3658676200.0,22387205300.0,,
272,002121.SZ,20200415,20191231,,-1.684,-98.4,,-2365011330.84,10008043755.56,,
273,002122.SZ,20200229,20191231,,-1.2947,-62.99,,-1698242416.6,4712920449.92,,
274,002123.SZ,20200229,20191231,,-0.31,-5.47,,-111432598.07,5977106169.57,,
275,002124.SZ,20200229,20191231,,0.1,4.95,,251331200.0,7489402600.0,,
276,002125.SZ,20200224,20191231,,0.13,6.06,,85532162.71,3504432450.75,,
277,002126.SZ,20200225,20191231,,0.4,8.68,,400028818.08,8303938803.33,,
278,002127.SZ,20200306,20191231,,0.49,28.1,,1248419695.92,5487579575.96,,
279,002128.SZ,20200227,20191231,,1.28,15.73,,3254974202.22,33819437792.87,,
280,002129.SZ,20200229,20191231,,0.3242,6.58,,1462523484.99,49063898970.71,,
281,002130.SZ,20200227,20191231,,0.17,7.85,,269919800.0,6442539600.0,,
282,002131.SZ,20200229,20191231,,0.05,4.04,,391196736.09,13289605354.41,,
283,002132.SZ,20200229,20191231,,0.0719,3.24,,91695472.6,4819362688.86,,
284,002133.SZ,20200227,20191231,,0.3152,7.34,,548016051.78,12691183111.94,,
285,002135.SZ,20200229,20191231,,0.26,6.44,,286104472.31,11365333825.14,,
286,002137.SZ,20200228,20191231,,0.1535,6.68,,115060547.91,1831845541.85,,
287,002138.SZ,20200229,20191231,,0.5,9.36,,461054143.96,6304407402.99,,
288,002139.SZ,20200229,20191231,,0.33,13.98,,398715248.23,5102739467.24,,
289,002140.SZ,20200229,20191231,,0.33,8.16,,201518473.36,6673569147.39,,
290,002141.SZ,20200229,20191231,,0.0059,0.48,,3428885.11,1847822601.69,,
291,002142.SZ,20200229,20191231,,2.41,17.1,,15280000000.0,1317713000000.0,,
292,002144.SZ,20200228,20191231,,0.5,5.16,,98011117.5,1963856015.71,,
293,002145.SZ,20200228,20191231,,0.2753,12.58,,482052344.38,5735103116.0,,
294,002146.SZ,20200219,20191231,,2.09,24.44,,13438176832.24,251897063259.03,,
295,002147.SZ,20200229,20191231,,-2.6572,-90.12,,-799228600.0,13844692000.0,,
296,002148.SZ,20200229,20191231,,-0.06,-2.23,,-26403731.31,1271899879.08,,
297,002149.SZ,20200229,20191231,,0.1448,3.41,,144540675.86,4407736382.67,,
298,002150.SZ,20200228,20191231,,0.43,12.15,,245125616.65,1697403093.9,,
299,002151.SZ,20200228,20191231,,-1.32,-17.67,,-747952665.35,6367945950.87,,
300,002152.SZ,20200228,20191231,,0.32,8.56,,1041115200.0,14199972200.0,,
301,002153.SZ,20200229,20191231,,0.36,4.41,,504980900.0,11017444800.0,,
302,002155.SZ,20200228,20191231,,0.13,3.23,,196530821.89,6798988513.03,,
303,002156.SZ,20200229,20191231,,0.02,0.33,,-19289731.38,16180913605.92,,
304,002157.SZ,20200220,20191231,,0.69,21.46,,1990065323.27,31089046346.51,,
305,002158.SZ,20200225,20191231,,0.4641,12.66,,291136138.87,3495693166.87,,
306,002159.SZ,20200228,20191231,,0.07,0.97,,90078700.0,2899563200.0,,
307,002160.SZ,20200229,20191231,,0.0289,0.7403,,39262710.87,5994624016.55,,
308,002161.SZ,20200228,20191231,,1.192,48.33,,895490463.32,2652807553.19,,
309,002162.SZ,20200228,20191231,,0.0444,3.99,,55595296.02,2337415512.44,,
310,002163.SZ,20200226,20191231,,0.06,7.29,,56688400.0,4619573200.0,,
311,002164.SZ,20200415,20191231,,0.03,3.72,,105613146.41,1723934484.44,,
312,002165.SZ,20200117,20191231,,0.15,5.64,,106485400.0,3848251000.0,,
313,002168.SZ,20200229,20191231,,0.17,6.98,,158297487.9,3668721868.82,,
314,002169.SZ,20200227,20191231,,0.143,4.0,,118392846.43,5649237015.31,,
315,002170.SZ,20200229,20191231,,0.0353,1.64,,54425587.56,3765777290.91,,
316,002171.SZ,20200122,20191231,,0.371,9.18,,562235192.63,8369999700.98,,
317,002172.SZ,20200228,20191231,,-0.53,-25.12,,-557157377.68,6317775790.21,,
318,002173.SZ,20200229,20191231,,-2.34,-34.46,,-943701257.42,2651944439.14,,
319,002174.SZ,20200229,20191231,,0.64,11.1,,575455023.64,9490806157.68,,
320,002176.SZ,20200302,20191231,,-1.2,-75.98,,-2048823904.53,5481634610.2,,
321,002177.SZ,20200228,20191231,,0.0877,4.13,,83107566.59,1790830891.14,,
