,ts_code,trade_date,circ_mv,float_share,pb,pe
271,000731.SZ,20200417,273857.255,59148.4352,0.9776,12.4709
272,000732.SZ,20200417,1250514.2837,248611.1896,0.5689,4.9005
273,000733.SZ,20200417,1065132.8236,51480.5618,1.9818,41.1316
274,000735.SZ,20200417,1177357.2056,115088.6809,2.8829,392.1659
275,000736.SZ,20200417,405491.3359,53494.8992,1.4828,7.4745
276,000737.SZ,20200417,152555.28,54876.0,3.9338,
277,000738.SZ,20200417,1410275.9452,114563.4399,2.5041,50.1386
278,000739.SZ,20200417,2033319.0672,114682.4065,5.5455,37.7578
279,000750.SZ,20200417,2411923.3076,544452.2139,1.3435,49.4534
280,000751.SZ,20200417,394762.5861,140986.6379,1.5397,74.3813
281,000752.SZ,20200417,99700.7096,26375.8491,22.5051,
282,000753.SZ,20200417,266708.4081,99148.1071,1.1703,28.9505
283,000755.SZ,20200417,182543.9376,46926.4621,1.502,12.1839
284,000756.SZ,20200417,439444.5847,39949.5077,2.3039,22.8041
285,000757.SZ,20200417,187873.7536,45161.96,1.7084,34.9285
286,000758.SZ,20200417,858566.6137,196918.9481,1.6538,71.7181
287,000759.SZ,20200417,442396.6248,68061.0192,1.3195,10.2719
288,000760.SZ,20200417,111255.5256,65444.4268,2.6971,
289,000761.SZ,20200417,1192052.4355,347537.1532,0.6838,12.8245
290,000762.SZ,20200417,366640.0447,52079.5518,1.7797,
291,000766.SZ,20200417,432698.8379,70702.4245,1.2146,17.8776
292,000767.SZ,20200417,728073.5585,291229.4234,1.0103,24.0847
293,000768.SZ,20200417,4795262.7365,276862.7446,2.8976,84.2976
294,000776.SZ,20200417,8221895.8435,591929.1464,1.1603,14.0414
295,000777.SZ,20200417,436316.655,38340.6551,2.9789,42.3677
296,000778.SZ,20200417,1355829.7342,388489.8952,0.6611,6.6283
297,000779.SZ,20200417,208660.9698,17564.0547,2.4929,15.0278
298,000780.SZ,20200417,236333.3735,101430.6324,0.6148,
299,000782.SZ,20200417,157996.2074,44631.697,1.3027,50.1359
300,000783.SZ,20200417,3560976.8839,552946.7211,1.3256,138.4532
301,000785.SZ,20200417,121954.3026,14746.5904,1.3462,750.184
302,000786.SZ,20200417,4342035.1539,168950.7842,3.1122,98.4266
303,000788.SZ,20200417,396331.6376,59598.7425,3.1817,87.7256
304,000789.SZ,20200417,1018222.0426,79735.4771,2.0104,7.4379
305,000790.SZ,20200417,342368.2534,61577.024,3.8911,55.6034
306,000791.SZ,20200417,452730.2932,135955.043,0.7073,10.7156
307,000792.SZ,20200417,5179206.5772,542893.7712,,
308,000793.SZ,20200417,602224.4543,194265.953,1.174,59.1948
309,000795.SZ,20200417,596080.3684,113108.2293,2.6492,41.915
310,000796.SZ,20200417,579423.3085,80252.5358,2.3727,29.863
311,000797.SZ,20200417,551546.2168,156245.3872,1.0867,18.1791
312,000798.SZ,20200417,190036.455,31938.9,2.4869,84.5637
313,000799.SZ,20200417,1047246.1025,32492.898,4.145,34.967
314,000800.SZ,20200417,778277.6046,76451.6311,1.6778,889.2628
315,000801.SZ,20200417,551292.7822,102280.6646,2.3169,62.0965
316,000802.SZ,20200417,613130.0448,71128.7755,2.4876,18.9402
317,000803.SZ,20200417,164006.0172,12773.0543,21.6113,213.5109
318,000806.SZ,20200417,118735.9689,69844.6876,8.0857,
319,000807.SZ,20200417,1060923.6338,260669.1975,1.166,25.7091
320,000809.SZ,20200417,177330.128,82479.1293,0.5628,18.3462
321,000810.SZ,20200417,1159909.0667,98968.3504,3.3832,19.7249
322,000811.SZ,20200417,464649.251,74582.5443,1.2196,16.4558
323,000812.SZ,20200417,198409.9804,67030.3988,1.6417,101.834
324,000813.SZ,20200417,1259712.0129,224148.045,2.2438,13.5376
325,000815.SZ,20200417,478340.9681,69526.3035,2.2932,108.1135
326,000816.SZ,20200417,169707.2389,133627.7472,0.6048,43.7735
327,000818.SZ,20200417,1593092.6245,67647.2452,5.8438,52.9798
328,000819.SZ,20200417,241583.696,28488.6434,2.9725,40.0664
329,000820.SZ,20200417,31642.2612,28765.692,15.0054,
330,000821.SZ,20200417,287000.1705,45700.6641,1.1615,23.4891
331,000822.SZ,20200417,341925.1157,89509.1926,1.0172,20.9716
332,000823.SZ,20200417,657190.7067,53692.0512,1.859,21.6848
333,000825.SZ,20200417,1913875.5891,569605.8301,0.5991,3.8454
334,000826.SZ,20200417,976509.1639,119086.4834,0.8853,18.2181
335,000828.SZ,20200417,721423.8555,103951.5642,0.9966,6.7179
336,000829.SZ,20200417,509419.6733,92959.7944,2.2665,
337,000830.SZ,20200417,1150791.022,146411.0715,1.0269,6.8064
338,000831.SZ,20200417,1012277.4284,98088.8981,4.6282,99.454
339,000833.SZ,20200417,189798.681,37808.5022,1.1961,40.412
340,000835.SZ,20200417,97835.085,30289.5,,
341,000836.SZ,20200417,450736.2023,120840.8049,3.6198,67.6105
342,000837.SZ,20200417,269605.4534,69307.3145,1.2178,
343,000838.SZ,20200417,235218.3073,84610.9019,1.5456,28.1857
344,000839.SZ,20200417,1348138.4775,391900.7202,1.4798,6.7214
345,000848.SZ,20200417,683870.4127,97835.5383,3.4276,14.7142
346,000850.SZ,20200417,370749.3174,94338.2487,0.8742,31.2511
347,000851.SZ,20200417,599034.8039,87069.0122,1.8577,183.8513
348,000852.SZ,20200417,397356.1535,77760.4997,2.2086,293.5691
349,000856.SZ,20200417,203392.0,22700.0,5.9694,86.1394
350,000858.SZ,20200417,48897120.9657,379577.0918,7.2017,37.3595
351,000859.SZ,20200417,398489.4267,73931.248,2.4278,47.4893
352,000860.SZ,20200417,4473596.7107,74176.6989,6.1381,60.1083
353,000861.SZ,20200417,523464.8399,204478.4531,1.63,41.5724
354,000862.SZ,20200417,190514.0982,50135.289,1.0238,92.7549
355,000863.SZ,20200417,468965.73,118425.6894,0.9284,
356,000868.SZ,20200417,278224.0212,69556.0053,6.8906,87.2476
357,000869.SZ,20200417,1065632.88,45346.08,1.627,15.4497
358,000875.SZ,20200417,822032.854,214629.988,1.1091,55.6746
359,000876.SZ,20200417,13759734.2233,421173.3769,5.285,27.318
360,000877.SZ,20200417,992747.0461,88009.4899,1.2263,7.2319
361,000878.SZ,20200417,1643599.1622,164195.7205,2.0322,25.4004
362,000880.SZ,20200417,99729.63,13513.5,1.3966,24.3515
363,000881.SZ,20200417,483521.7417,69173.3536,1.1543,20.6708
364,000882.SZ,20200417,486502.407,248215.5138,0.6625,163.5776
365,000883.SZ,20200417,2367635.7836,650449.3911,0.8678,13.0798
366,000885.SZ,20200417,468584.592,49638.1983,1.5656,8.0445
367,000886.SZ,20200417,459737.1737,97196.0198,1.6766,28.1615
368,000887.SZ,20200417,1004941.622,121811.1057,1.173,9.0214
369,000888.SZ,20200417,325632.297,52691.3102,1.2843,15.5628
370,000889.SZ,20200417,716755.1999,62164.3712,3.3115,30.5071
371,000890.SZ,20200417,135905.6075,37962.4602,,
372,000892.SZ,20200417,221728.601,53817.6216,1.1707,12.4505
373,000893.SZ,20200417,264890.429,40074.195,1.3694,1249.8632
374,000895.SZ,20200417,3519249.2544,88201.7357,8.0326,24.3562
375,000897.SZ,20200417,389755.9568,161724.4634,3.1892,22.392
376,000898.SZ,20200417,2158299.7406,799370.2743,0.4876,14.2105
377,000899.SZ,20200417,427344.6667,97567.2755,0.8934,17.5693
378,000900.SZ,20200417,584083.3499,151709.961,0.5893,6.064
379,000901.SZ,20200417,689417.4921,69218.6237,1.5121,46.8943
380,000902.SZ,20200417,963439.3983,117349.5004,1.6337,13.0797
381,000903.SZ,20200417,1035598.2028,176723.2428,2.0708,61.9012
382,000905.SZ,20200417,324440.0835,53099.85,0.9544,44.61
383,000906.SZ,20200417,345114.1881,65486.5632,1.5107,11.6222
384,000908.SZ,20200417,404417.8241,70826.2389,2.1576,26.8906
385,000909.SZ,20200417,253630.2008,31235.2464,2.3665,92.1856
386,000910.SZ,20200417,593660.4625,54715.25,1.2688,8.2779
387,000911.SZ,20200417,260885.1543,32408.0937,36.749,81.8049
388,000912.SZ,20200417,656992.0,156800.0,1.3015,23.1933
389,000913.SZ,20200417,467142.08,45353.6,1.6712,73.7307
390,000915.SZ,20200417,609492.1452,23343.2457,3.5343,29.9771
391,000917.SZ,20200417,797498.2098,129463.9951,0.7859,99.7056
392,000918.SZ,20200417,813690.3665,180419.15,2.2746,
393,000919.SZ,20200417,373043.2461,50275.3701,1.2994,25.7342
394,000920.SZ,20200417,245078.3351,42182.1575,2.2394,26.5578
395,000921.SZ,20200417,863344.2381,90213.609,1.4953,7.2707
396,000922.SZ,20200417,367859.6126,48530.2919,1.7338,10.963
397,000923.SZ,20200417,237798.0,19800.0,1.1416,58.4376
398,000925.SZ,20200417,359409.2981,45322.7362,1.7868,161.3438
399,000926.SZ,20200417,501643.0003,94649.6227,0.4552,4.4963
400,000927.SZ,20200417,575856.7166,159517.096,,
401,000928.SZ,20200417,513975.1433,125666.2942,0.9971,11.6559
402,000929.SZ,20200417,118882.7027,18575.4223,1.7977,76.0542
403,000930.SZ,20200417,721379.514,96441.1115,1.4337,28.8917
404,000931.SZ,20200417,655902.6863,74619.1907,3.9606,71.0755
405,000932.SZ,20200417,1688692.1412,422173.0353,0.8688,5.5828
406,000933.SZ,20200417,792495.2603,190046.825,0.9291,33.1785
