,ts_code,ann_date,f_ann_date,end_date,c_recp_return_invest,n_cashflow_act
1313,603706.SH,20200417,20200417,20191231,17708084.47,146284220.55
1314,603712.SH,20200318,20200318,20191231,7813663.62,221236494.68
1315,603713.SH,20200402,20200402,20191231,6643610.59,212514355.26
1316,603725.SH,20200416,20200416,20191231,3135829.95,77381141.6
1317,603727.SH,20200320,20200320,20191231,,-44724008.74
1318,603733.SH,20200403,20200403,20191231,120623962.64,455643309.19
1319,603737.SH,20200410,20200410,20191231,1542139.74,399892555.24
1320,603776.SH,20200420,20200420,20191231,4886085.46,392136580.97
1321,603799.SH,20200328,20200328,20191231,21516907.59,2599671576.78
1322,603801.SH,20200416,20200416,20191231,17939746.77,344382382.47
1323,603806.SH,20200321,20200321,20191231,39126007.38,434941650.99
1324,603813.SH,20200331,20200331,20191231,,63157815.67
1325,603817.SH,20200410,20200410,20191231,2761366.58,223225599.43
1326,603822.SH,20200218,20200218,20191231,,132261067.21
1327,603823.SH,20200418,20200418,20191231,7758049.18,184416960.63
1328,603826.SH,20200331,20200331,20191231,4856154.33,140586685.6
1329,603838.SH,20200417,20200417,20191231,2708000.0,48474562.2
1330,603839.SH,20200403,20200403,20191231,38030700.63,11008664.66
1331,603856.SH,20200326,20200326,20191231,4371931.48,101754691.22
1332,603860.SH,20200331,20200331,20191231,3630399.98,69285665.31
1333,603866.SH,20200415,20200415,20191231,22225361.63,887834094.1
1334,603878.SH,20200331,20200331,20191231,18391374.68,46223863.17
1335,603879.SH,20200417,20200417,20191231,4680780.82,16943896.41
1336,603881.SH,20200314,20200314,20191231,,190353248.66
1337,603885.SH,20200411,20200411,20191231,120869.47,2736747856.15
1338,603886.SH,20200417,20200417,20191231,29211227.12,341199524.52
1339,603887.SH,20200331,20200331,20191231,,144196351.85
1340,603889.SH,20200409,20200409,20191231,6730355.87,398646453.55
1341,603896.SH,20200402,20200402,20191231,3675008.55,207918192.58
1342,603897.SH,20200415,20200415,20191231,28723845.16,380865193.8
1343,603899.SH,20200414,20200414,20191231,24216354.35,1081941383.68
1344,603901.SH,20200418,20200418,20191231,100120.0,166603115.09
1345,603903.SH,20200417,20200417,20191231,1550500.0,265768396.22
1346,603916.SH,20200416,20200416,20191231,,419128935.5
1347,603917.SH,20200416,20200416,20191231,2316854.79,103653611.24
1348,603919.SH,20200331,20200331,20191231,1065555.56,370864384.64
1349,603920.SH,20200415,20200415,20191231,9026323.14,575904295.64
1350,603927.SH,20200417,20200417,20191231,,389192578.28
1351,603929.SH,20200327,20200327,20191231,8793195.1,-197191770.77
1352,603933.SH,20200320,20200320,20191231,13450118.59,67072118.39
1353,603938.SH,20200320,20200320,20191231,5120115.06,38797697.05
1354,603939.SH,20200409,20200409,20191231,,963234234.64
1355,603955.SH,20200415,20200415,20191231,982884.72,139369511.74
1356,603967.SH,20200409,20200409,20191231,26707046.03,214183910.7
1357,603968.SH,20200418,20200418,20191231,15039759.42,285328016.52
1358,603977.SH,20200415,20200415,20191231,12577806.52,183068960.09
1359,603979.SH,20200415,20200415,20191231,,574741907.59
1360,603986.SH,20200327,20200327,20191231,10033049.65,967347203.67
1361,603987.SH,20200331,20200331,20191231,4122827.5,256366254.09
1362,603989.SH,20200331,20200331,20191231,40592889.17,155887681.28
1363,603992.SH,20200414,20200414,20191231,,267353140.91
1364,603993.SH,20200330,20200330,20191231,1632774545.59,1704827883.87
1365,603995.SH,20200420,20200420,20191231,1235076.94,388558495.7
1366,603997.SH,20200331,20200331,20191231,3794096.47,1169463785.71
1367,688001.SH,20200416,20200416,20191231,3082140.26,-107272730.35
1368,688002.SH,20200408,20200408,20191231,282426.02,159138165.34
1369,688003.SH,20200418,20200418,20191231,159455.94,-9533726.21
1370,688009.SH,20200326,20200326,20191231,61958760.28,3371360784.87
1371,688011.SH,20200417,20200417,20191231,5549865.32,9305792.76
1372,688012.SH,20200417,20200417,20191231,20095019.9,133270991.54
1373,688015.SH,20200409,20200409,20191231,5835786.72,430257632.65
1374,688016.SH,20200330,20200330,20191231,10147559.89,143202857.0
1375,688018.SH,20200310,20200310,20191231,,102315848.26
1376,688021.SH,20200416,20200416,20191231,56000.0,19959482.92
1377,688023.SH,20200415,20200415,20191231,,216516098.73
1378,688025.SH,20200420,20200420,20191231,287914.65,18324911.42
1379,688028.SH,20200415,20200415,20191231,,82897770.47
1380,688029.SH,20200331,20200331,20191231,13138024.18,252490245.2
1381,688058.SH,20200416,20200416,20191231,1979794.52,18304802.13
1382,688101.SH,20200410,20200410,20191231,,236317186.78
1383,688111.SH,20200325,20200325,20191231,45212011.9,585691496.95
1384,688122.SH,20200331,20200331,20191231,186015.42,-109504459.37
1385,688123.SH,20200417,20200417,20191231,,73773739.34
1386,688138.SH,20200416,20200416,20191231,,102685252.56
1387,688139.SH,20200326,20200326,20191231,46626505.35,280486898.86
1388,688159.SH,20200415,20200415,20191231,1969850.93,-2037098.79
1389,688166.SH,20200410,20200410,20191231,4522727.72,61333887.77
1390,688168.SH,20200420,20200420,20191231,,22940105.08
1391,688178.SH,20200420,20200420,20191231,1822112.32,31863789.08
1392,688186.SH,20200331,20200331,20191231,18118585.0,-23846154.56
1393,688196.SH,20200326,20200326,20191231,,178971646.9
1394,688199.SH,20200418,20200418,20191231,172861.11,153901917.19
1395,688202.SH,20200416,20200416,20191231,112733.34,58299144.52
1396,688208.SH,20200331,20200331,20191231,2660136.99,229137596.39
1397,688278.SH,20200330,20200330,20191231,,123301259.4
1398,688288.SH,20200404,20200404,20191231,355002.04,62203124.1
1399,688299.SH,20200416,20200416,20191231,1323069.42,130713158.2
1400,688357.SH,20200420,20200420,20191231,,41604752.25
1401,688358.SH,20200331,20200331,20191231,2121346.73,79827109.35
1402,688366.SH,20200327,20200327,20191231,88292847.22,348910880.12
1403,688388.SH,20200331,20200331,20191231,8129342.07,472132435.8
1404,688389.SH,20200331,20200331,20191231,5435861.9,91824906.79
1405,688398.SH,20200417,20200417,20191231,,59740514.62
