,ts_code,ann_date,f_ann_date,end_date,accounts_receiv,cap_rese,intan_assets,total_cur_assets,total_cur_liab,total_share,undistr_porfit
37,000416.SZ,20200321,20200321,20191231,7583752.47,28095046.45,301303.39,680885771.35,24838750.77,531871494.0,272553052.79
38,000417.SZ,20200328,20200328,20191231,86777533.84,308986565.11,1206720306.73,5064292885.21,5463734046.26,779884200.0,1894762890.74
39,000419.SZ,20200418,20200418,20191231,10703888.55,417395463.29,267569370.65,2340115829.19,1619555084.06,543582655.0,1117747418.19
40,000420.SZ,20200410,20200410,20191231,369345002.79,1389575854.59,244450712.51,2166160990.62,4687894468.55,1970706656.0,-540606693.27
41,000421.SZ,20200417,20200417,20191231,307005138.86,407350699.37,107199968.17,7317202645.12,7701828815.32,572646934.0,1471086386.62
42,000423.SZ,20200327,20200327,20191231,1263014299.85,690580879.91,424159896.63,8194201087.88,1574095927.21,654021537.0,8391944198.42
43,000428.SZ,20200330,20200330,20191231,34183515.36,1453067151.3,480358414.06,1729600703.83,3307935829.81,1018926000.0,35985001.11
44,000429.SZ,20200407,20200407,20191231,125343724.66,2562570465.31,6393895.17,2980940472.68,1827575113.8,2090806126.0,3877431844.64
45,000488.SZ,20200328,20200328,20191231,2525083311.03,5086686427.3,1781061904.51,44952433912.61,52698768912.12,2904608200.0,9306269617.38
46,000502.SZ,20200330,20200330,20191231,2115757.05,22820326.72,65338.25,140627217.08,37019043.31,184819607.0,-17085027.97
47,000505.SZ,20200328,20200328,20191231,80743986.81,1595672048.19,368170434.38,3018657545.42,2110133177.66,685790364.0,2186806.56
48,000507.SZ,20200416,20200416,20191231,449855251.66,1662183935.44,212475628.22,2318958591.44,2166722589.06,930424895.0,1318570742.77
49,000509.SZ,20200331,20200331,20191231,7918213.7,250782235.17,,89753091.68,252935584.39,825483117.0,-1201969373.33
50,000513.SZ,20200326,20200326,20191231,1472438936.26,1163404748.17,229559613.0,12873202408.62,5293657403.71,934762675.0,8419002908.4
51,000514.SZ,20200326,20200326,20191231,12218230.54,1188986530.6,268941878.52,5220258698.07,1958126655.35,843770965.0,1064739525.52
52,000520.SZ,20200417,20200417,20191231,24364647.0,1959561030.62,3088337.0,264419625.59,186066531.65,1012083455.0,-2813775003.19
53,000521.SZ,20200328,20200328,20191231,1387961981.66,2684366619.1,933248463.84,10407485302.91,8319860996.29,1044597881.0,884127743.42
54,000523.SZ,20200415,20200415,20191231,3445511412.84,915241632.48,71950194.88,7913939879.32,6656299308.11,627533125.0,306789130.58
55,000529.SZ,20200418,20200418,20191231,167738228.73,570959412.25,106896531.96,1924828979.49,563481378.39,583790330.0,432375532.03
56,000530.SZ,20200418,20200418,20191231,1030342541.88,726768468.0,141540378.1,2217596115.49,1745604852.31,843212507.0,1038358782.59
57,000531.SZ,20200418,20200418,20191231,384895142.46,851124218.05,206439363.65,4477774473.09,6434958011.94,685082820.0,2127093899.68
58,000532.SZ,20200325,20200325,20191231,122071885.31,25564872.42,188746529.01,579810056.01,1141664941.61,344708340.0,414117879.48
59,000534.SZ,20200229,20200229,20191231,107857744.94,,170621774.01,744611144.21,609003562.95,491785096.0,456071064.28
60,000538.SZ,20200327,20200327,20191231,2037970725.32,17420060412.06,538384578.65,44701367584.8,9614579082.6,1277403317.0,17831191285.89
61,000539.SZ,20200418,20200418,20191231,3197690464.0,5096918174.0,1787738640.0,11308968321.0,19685223777.0,5250283986.0,5909128280.0
62,000541.SZ,20200410,20200410,20191231,712175266.51,158608173.07,167826499.74,3568241275.92,1130572643.39,1399346154.0,1709962479.45
63,000544.SZ,20200328,20200328,20191231,373550054.84,3870168403.66,1754689481.65,3172197650.44,1640609109.41,974684488.0,859824582.51
64,000546.SZ,20200415,20200415,20191231,1031136947.4,1615618804.2,334196800.47,3702913508.01,3570147564.24,714644396.0,1681019137.27
65,000548.SZ,20200328,20200328,20191231,16543347.22,478268073.88,236781958.1,1221902662.46,603584462.07,499215811.0,602787247.24
66,000550.SZ,20200326,20200326,20191231,2208236620.0,839442490.0,948755845.0,15074434759.0,13424278936.0,863214000.0,8373695791.0
67,000551.SZ,20200324,20200324,20191231,690502973.42,341912794.91,155952785.78,2948058795.78,2105361912.67,400080405.0,724447624.93
68,000552.SZ,20200331,20200331,20191231,917077583.8,1842814033.33,2024918770.17,4965730557.67,2293083781.84,2286971050.0,2630352715.66
69,000555.SZ,20200331,20200331,20191231,3304302973.61,2315977578.13,107253813.87,7777475968.78,5351464171.85,970381273.0,1885845382.35
70,000557.SZ,20200328,20200328,20191231,123571510.74,4321908252.77,471781375.83,1165414485.7,269364165.76,1458374735.0,-951188345.5
71,000559.SZ,20200420,20200420,20191231,1929203348.13,243859306.04,153526493.58,7097348194.46,5043229147.22,2753159454.0,1653549876.22
72,000561.SZ,20200411,20200411,20191231,771638419.75,216110945.6,98657015.74,2540302689.62,1352873196.18,604692321.0,704030965.78
73,000565.SZ,20200320,20200320,20191231,112497108.58,51124431.61,20670444.93,710564009.6,253246971.85,433592220.0,506424419.84
74,000570.SZ,20200411,20200411,20191231,419295665.51,164328665.43,99699450.26,2176026244.87,1240153110.04,561374326.0,726689929.1
75,000572.SZ,20200331,20200331,20191231,455941873.77,3776552436.73,1319904275.17,3183758771.33,4827666167.32,1644636426.0,-651152543.8
76,000573.SZ,20200414,20200414,20191231,14686408.75,549738171.2,165877662.11,1934904969.69,710119691.12,648730604.0,350712432.88
77,000576.SZ,20200328,20200328,20191231,43723006.78,757414621.49,27719386.98,542023537.63,248557606.93,442861324.0,-123046258.02
78,000582.SZ,20200418,20200418,20191231,385241087.2,3623531199.64,2737740735.07,2690594125.57,4324793445.09,1634616854.0,3932292579.76
79,000586.SZ,20200408,20200408,20191231,277186283.93,64715823.67,22263652.45,539748398.94,337094029.88,193440000.0,-31417305.01
80,000590.SZ,20200409,20200409,20191231,5953983.1,474063796.79,134702259.49,491486161.5,153915328.11,239471267.0,-137272523.11
81,000591.SZ,20200418,20200418,20191231,7114290187.3,6693331408.34,530112867.01,8764113123.8,7055264889.46,3007098032.0,3494650586.69
82,000597.SZ,20200420,20200420,20191231,1819035411.13,2574162399.04,695753428.29,5879358723.88,7899248227.72,904726630.0,403837857.26
83,000598.SZ,20200402,20200402,20191231,1094930840.03,1779966946.99,6156679302.62,5226881327.09,6170159640.82,2986218602.0,6139091699.33
84,000600.SZ,20200324,20200324,20191231,1743214364.17,4455071518.1,974641044.78,5921959255.91,9072953414.05,1791626376.0,4455813057.45
85,000603.SZ,20200317,20200317,20191231,46078852.53,452139815.51,476441204.88,1104827899.74,980753512.72,689969346.0,1684145997.46
86,000610.SZ,20200415,20200415,20191231,22166721.5,394707209.02,74846059.07,639806880.77,374826832.71,236747901.0,173002161.14
87,000612.SZ,20200326,20200326,20191231,18074406.78,1639553015.23,24348370.16,1237406101.07,2157322899.0,1192199394.0,1077863192.92
88,000613.SZ,20200321,20200321,20191231,311083.92,54142850.01,21392861.88,11134468.09,7544895.25,364100000.0,-339756246.05
89,000617.SZ,20200402,20200402,20191231,32883070.91,38724637371.01,508705786.76,513201394953.59,745728403903.63,9030056485.0,22781594866.03
90,000619.SZ,20200321,20200321,20191231,219735121.59,440978643.93,268780125.66,2326345019.46,1235791469.85,360000000.0,1391631633.46
91,000627.SZ,20200415,20200415,20191231,19016965.39,11095295570.43,109418168.73,25785001771.98,8433860854.02,4940629165.0,5828959152.25
92,000628.SZ,20200229,20200229,20191231,1463483135.52,728522776.26,52079544.59,5426021702.04,4512724004.47,311480000.0,-78199383.82
93,000629.SZ,20200331,20200331,20191231,106300816.61,5541396646.21,311113993.44,6224810410.34,2675188017.03,8589746202.0,-6760645520.67
94,000631.SZ,20200326,20200326,20191231,16288006.88,1390335090.4,1732.87,7364600411.98,1489533430.86,2432519168.0,2190296675.8
95,000635.SZ,20200331,20200331,20191231,36332769.8,1878568841.02,74614528.07,1378711608.03,412382391.07,303087602.0,376470282.11
96,000652.SZ,20200410,20200410,20191231,6715766928.93,685646735.12,2623698674.57,25603890823.84,23802755931.67,1475573852.0,2132357419.86
97,000655.SZ,20200321,20200321,20191231,65198872.44,487998131.16,276780366.9,1317243676.25,263790255.56,595340230.0,1160559313.76
98,000656.SZ,20200324,20200324,20191231,2279708174.36,4507152596.74,75763656.09,291228777896.68,200965393147.39,5339715816.0,12985084206.91
99,000661.SZ,20200327,20200327,20191231,894774090.27,3072468346.84,278349195.02,8740527588.37,3216912640.73,202360145.0,4225295539.83
100,000666.SZ,20200325,20200325,20191231,700033234.76,1891248049.22,412522026.65,26153651037.75,8283546990.7,704130000.0,4352244398.29
101,000670.SZ,20200320,20200320,20191231,7375105.96,294858215.0,34544457.96,22567259.48,82062830.13,816627360.0,-611566856.27
102,000672.SZ,20200415,20200415,20191231,181369454.49,-953626005.92,1393081953.06,5052985179.25,3834045640.02,813619871.0,5446667482.61
103,000680.SZ,20200327,20200327,20191231,1731070885.88,1187672878.81,628007797.92,5386697126.34,5027341407.24,1240787611.0,607261739.04
104,000682.SZ,20200415,20200415,20191231,1269085684.86,1198872324.15,93943045.46,5281851927.6,2605028006.99,1340727007.0,696158189.72
105,000686.SZ,20200410,20200410,20191231,,5747128330.68,245400598.2,,,2340452915.0,4552525744.51
106,000688.SZ,20200410,20200410,20191231,24561018.98,188831724.36,386295226.03,649001477.58,499627777.45,1137299314.0,1044695001.62
107,000698.SZ,20200410,20200410,20191231,41779887.66,1336320056.95,809259851.29,3692272819.99,4637831481.12,819514395.0,1244808696.95
108,000702.SZ,20200403,20200403,20191231,2122160.28,180849422.88,31291197.84,261032188.91,106784157.43,266634576.0,33298597.68
109,000705.SZ,20200415,20200415,20191231,497632657.49,536719291.14,55545034.19,1661686320.35,758175914.93,334123286.0,651898194.28
110,000708.SZ,20200306,20200306,20191231,1949447496.47,11284624739.91,4409539055.38,29453999889.62,37865918505.18,2968907902.0,10324487127.33
111,000710.SZ,20200415,20200415,20191231,840271218.4,1035143188.92,72003041.87,1852593955.24,449718880.72,354605865.0,866659406.87
112,000712.SZ,20200306,20200306,20191231,,708119647.99,425641692.82,,,896000000.0,1518931349.52
113,000715.SZ,20200402,20200402,20191231,1083660.77,180005059.01,207426216.97,1128934200.25,645860596.72,415718940.0,715925459.81
114,000717.SZ,20200331,20200331,20191231,33154202.85,3209047756.53,214391050.44,5313648105.09,8735051624.79,2419524410.0,1590855807.83
115,000718.SZ,20200415,20200415,20191231,123338916.07,1063493985.8,439363998.3,14845732189.01,7610700929.22,3034636384.0,4464837374.92
116,000721.SZ,20200415,20200415,20191231,18309145.83,55514684.59,21224557.29,296872468.33,409006454.31,499055920.0,8077729.1
117,000722.SZ,20200328,20200328,20191231,9780560.74,2134614669.57,13355063.76,1376379016.33,55913440.08,464158282.0,313575258.26
118,000727.SZ,20200415,20200415,20191231,720972082.93,6572791527.76,1132589569.86,3109672492.73,8458821391.99,4529566980.0,-7054394297.01
119,000728.SZ,20200330,20200330,20191231,,12610173775.88,48736655.14,,,3365447047.0,4565132948.64
120,000733.SZ,20200418,20200418,20191231,1361338817.28,2878157058.67,190812522.28,6034294057.28,1980842978.77,514805618.0,1628304080.9
121,000735.SZ,20200331,20200331,20191231,21790673.24,1585978645.69,330883580.21,1413220268.92,959421693.41,1151513578.0,1029992582.9
122,000736.SZ,20200407,20200407,20191231,22000451.42,221322602.83,6392166.65,44575785578.78,28289887062.15,534948992.0,1926865036.68
123,000737.SZ,20200401,20200401,20191231,114579871.78,992957761.32,203692925.06,703317902.2,1105910265.91,548760000.0,-1295752843.21
124,000738.SZ,20200410,20200410,20191231,762451509.66,2710255931.81,527564855.29,4716749148.25,1519193956.49,1145642349.0,1672183960.25
125,000739.SZ,20200312,20200312,20191231,1025138596.19,438005920.01,331210820.87,3957972887.43,2561555217.89,1178523492.0,2018844511.85
126,000750.SZ,20200328,20200328,20191231,,6275980983.51,130445760.68,,,4215541972.0,1342945636.93
127,000755.SZ,20200410,20200410,20191231,105761186.1,1294523533.27,7904194628.92,605984358.82,2171556486.9,469264621.0,-708997713.68
128,000756.SZ,20200323,20200323,20191231,309307455.92,634142967.7,411593975.21,2428386536.31,2485514472.98,621859447.0,1250630948.35
129,000768.SZ,20200331,20200331,20191231,12650830679.03,10142839388.96,297834442.47,40473456020.18,30462258626.6,2768645071.0,2200104627.16
130,000776.SZ,20200328,20200328,20191231,,31205148513.81,410080010.42,,,7621087664.0,29655551450.83
131,000779.SZ,20200331,20200331,20191231,588936242.44,1026554289.68,263229287.62,2157452866.87,1400787180.09,380330518.0,446108341.29
132,000786.SZ,20200321,20200321,20191231,1260837677.4,3141127096.42,2034419050.78,6334958913.08,6206827162.71,1689507842.0,8510565200.13
133,000789.SZ,20200326,20200326,20191231,646375209.53,56874889.93,1620921216.46,4611499107.84,3049939138.22,797373678.0,3688614610.13
134,000790.SZ,20200417,20200417,20191231,265074280.74,39580621.1,18185367.35,854109247.24,243695145.92,616360564.0,111255084.28
135,000791.SZ,20200328,20200328,20191231,991854835.29,3519997663.84,211806105.6,2446793219.43,2245501855.09,1359576680.0,1388554464.6
136,000793.SZ,20200415,20200415,20191231,1098484817.19,3775418066.61,206157016.77,3419584444.3,2773046048.29,1997245457.0,-1221593519.05
137,000795.SZ,20200313,20200313,20191231,738292284.92,1053158636.24,141687401.37,2502550325.51,994494591.75,1133684103.0,63878147.8
138,000798.SZ,20200410,20200410,20191231,17878302.21,440664375.89,14558100.29,385932485.4,263175941.28,319455000.0,-45541967.03
139,000799.SZ,20200417,20200417,20191231,6728829.28,1161259524.97,199690173.98,2466819871.14,784156868.77,324928980.0,710402001.86
140,000800.SZ,20200328,20200328,20191231,1319132295.06,2488902351.77,753746703.82,9950505146.96,10860810047.14,1627500000.0,2923497307.31
141,000807.SZ,20200324,20200324,20191231,237616864.65,8023272472.93,2656425916.59,9067446886.23,20514665780.68,3128206556.0,-604038993.25
142,000810.SZ,20200324,20200324,20191231,4594498874.02,449192408.32,177004551.14,8961308508.96,5523355757.33,1058283534.0,2094733702.57
143,000818.SZ,20200407,20200407,20191231,384833993.99,914507596.96,514411572.58,1609985779.57,1671286617.25,689890000.0,1011145299.89
144,000819.SZ,20200331,20200331,20191231,11546982.49,70360815.84,27705391.02,713272025.75,116512841.7,284905005.0,283061194.82
145,000822.SZ,20200402,20200402,20191231,3731879.8,1511760234.43,83050157.19,2103822846.21,960955396.77,895091926.0,549989678.04
146,000823.SZ,20200402,20200402,20191231,1498311453.8,1424639073.72,109876499.12,3403019964.0,1623380281.79,536966000.0,1316956073.2
147,000828.SZ,20200318,20200318,20191231,38150686.46,1138638505.13,610751228.61,3464463000.32,2418163063.19,1039516992.0,4165264351.99
148,000830.SZ,20200414,20200414,20191231,83612042.8,2180154163.07,1448315880.62,3099476632.89,14437325890.41,1464860778.0,6838300582.46
149,000833.SZ,20200411,20200411,20191231,32636318.44,1385759772.8,909433407.85,1900598821.9,1447246445.43,668401851.0,663567039.81
150,000838.SZ,20200414,20200414,20191231,84547404.98,256681853.32,10032676.44,17369927368.02,12361027938.78,1100462170.0,581624041.81
151,000848.SZ,20200328,20200328,20191231,,17308439.11,296996835.97,2530646346.3,1023044707.34,978562728.0,562174423.56
152,000856.SZ,20200313,20200313,20191231,645547358.45,388700162.63,95805622.35,1724469130.16,1835907395.1,227000000.0,-310916708.42
153,000859.SZ,20200402,20200402,20191231,146927248.06,589662537.93,114852198.9,903304362.07,335700854.92,739449730.0,230976082.97
154,000862.SZ,20200324,20200324,20191231,,,,,,,
155,000868.SZ,20200317,20200317,20191231,1132477614.9,530478330.16,223114582.35,3703917559.23,4221096507.88,733329168.0,-903580313.71
156,000875.SZ,20200327,20200327,20191231,4513354459.17,5597754702.95,519048825.32,7049564987.79,12676861744.55,2146313980.0,-430411169.48
157,000876.SZ,20200401,20200401,20191231,894050167.92,2507590540.72,1388930702.26,17178552679.58,26195904713.44,4216015009.0,17590186212.3
158,000877.SZ,20200321,20200321,20191231,462068372.05,4076317913.21,674213718.45,3035663189.17,3400985484.28,1048722959.0,4008309013.84
159,000878.SZ,20200410,20200410,20191231,77979967.13,5832478744.3,1942520656.33,19662224566.56,20085389006.89,1699678560.0,319701827.31
160,000880.SZ,20200328,20200328,20191231,136527052.89,613091443.99,163327438.25,2082401977.66,2594053693.3,276100500.0,476412804.42
161,000885.SZ,20200420,20200420,20191231,154884358.56,55213528.2,416173356.71,1188791347.86,2564629459.42,496381983.0,1951152339.21
162,000895.SZ,20200325,20200325,20191231,153998532.63,1250180577.63,980706917.51,16303245417.83,11283570251.07,3319282190.0,10022251033.89
163,000897.SZ,20200312,20200312,20191231,69405476.13,309650785.39,900901.63,6631393837.49,5602254968.91,1617272234.0,-769736759.34
164,000898.SZ,20200328,20200328,20191231,2569000000.0,33485000000.0,6163000000.0,23492000000.0,29341000000.0,9405000000.0,5551000000.0
165,000899.SZ,20200417,20200417,20191231,274678880.61,2433539567.35,39558213.74,1269412864.38,1980433701.17,975677760.0,1011203826.84
166,000903.SZ,20200415,20200415,20191231,1948943345.0,2342621950.27,709880366.69,6971902367.83,6670228725.84,1970800857.0,998175268.31
167,000905.SZ,20200320,20200320,20191231,783433187.85,631570038.77,1021619619.0,3798257293.56,3849596575.67,531000000.0,2023901818.4
168,000909.SZ,20200311,20200311,20191231,205611560.75,472057702.23,6350358.02,2336062747.12,1277626347.17,312352464.0,266139363.53
169,000911.SZ,20200413,20200413,20191231,314547616.16,1441240593.53,489713716.1,2469182324.95,4606447448.03,324080937.0,-1845385659.42
170,000912.SZ,20200327,20200327,20191231,19690979.96,5772182737.66,148980905.04,2005175023.3,714607147.1,1568000000.0,-2783946351.07
171,000915.SZ,20200307,20200307,20191231,283304362.32,62244857.27,166389811.54,1767033310.98,508903339.91,234331485.0,1344272044.75
172,000919.SZ,20200331,20200331,20191231,266983453.16,462062035.94,156397005.8,2245948685.77,677336636.22,504000000.0,1533500495.27
173,000920.SZ,20200403,20200403,20191231,172720021.97,,81560650.59,1030337154.04,455664098.44,422000000.0,607473208.79
174,000921.SZ,20200415,20200415,20191231,3967576310.11,2056057145.37,1918063341.32,24520457276.99,20838408713.79,1362725370.0,4644256846.32
175,000922.SZ,20200409,20200409,20191231,582747466.77,1224888854.59,95933688.33,2928789037.08,1191148180.81,498663378.0,313198437.35
176,000927.SZ,20200409,20200409,20191231,9274833.84,1339771124.47,131025235.04,805381144.29,2430162437.08,1595174020.0,-4872328820.49
177,000929.SZ,20200415,20200415,20191231,27297012.49,192662417.13,59816877.53,1062723774.26,276218080.62,185766000.0,278704375.55
178,000932.SZ,20200319,20200319,20191231,3589961855.67,10626121139.27,4567801287.04,32747115246.3,47355132924.68,6129077211.0,10488068120.16
179,000949.SZ,20200408,20200408,20191231,674726290.74,1692935518.57,72877804.21,2604276744.64,2179203069.0,1257656049.0,594102641.42
180,000950.SZ,20200417,20200417,20191231,11948145671.88,2395376622.88,207184986.45,20347521041.25,15193115815.29,1728184696.0,3865216942.34
181,000951.SZ,20200401,20200401,20191231,3353337491.06,432432874.83,356759282.9,21827938608.6,15950204799.61,671080800.0,5093582376.91
182,000960.SZ,20200417,20200417,20191231,639509493.09,8763856753.32,3952738863.48,10882466929.0,17300743678.27,1668776379.0,1771676563.99
183,000965.SZ,20200320,20200320,20191231,3516385.78,1833785912.41,5038564.81,7445514198.89,2684862815.24,1109830895.0,2125620069.07
184,000969.SZ,20200410,20200410,20191231,987320933.95,2736457286.71,464681538.84,4412686407.0,3718930448.74,1026008097.0,380449248.27
185,000972.SZ,20200416,20200416,20191231,159119489.65,1071565288.52,2015040.34,336301718.81,288399841.13,771283579.0,-1437437657.71
186,000973.SZ,20200326,20200326,20191231,255496272.04,326126439.07,251652726.61,1300087242.57,1184337295.85,967423171.0,831762090.09
187,000975.SZ,20200321,20200321,20191231,40045700.78,5225129078.87,5460381600.77,2161024777.97,1070037414.4,1983373047.0,1406894608.22
188,000977.SZ,20200418,20200418,20191231,10049036167.56,4436842772.18,701272109.2,26953800990.37,18403661778.7,1289252171.0,2894487816.95
189,000978.SZ,20200326,20200326,20191231,111660959.1,973331491.46,453827742.25,247854187.09,473040912.12,360100000.0,166666404.5
190,000985.SZ,20200418,20200418,20191231,,258946224.12,10628913.5,298759694.72,115744692.71,129639500.0,106675882.81
191,000987.SZ,20200229,20200229,20191231,,11764393577.68,30007340.83,,,2752884754.0,1422120134.15
192,000988.SZ,20200418,20200418,20191231,2211716538.21,2603182812.84,282325426.66,7258079773.67,3163521390.44,1005502707.0,2399481350.72
193,000990.SZ,20200418,20200418,20191231,1081876361.44,12898773253.33,610203732.44,5266485079.56,4562072764.29,1253011919.0,2297728817.59
194,000993.SZ,20200401,20200401,20191231,137301350.01,1649392451.17,98450273.14,1066311231.34,822218438.15,457951455.0,-140503870.23
195,000999.SZ,20200320,20200320,20191231,2750955246.06,1180758417.33,1809822958.88,10292798455.48,6693187606.22,978900000.0,9871827980.18
196,001696.SZ,20200328,20200328,20191231,1020012389.35,556897648.91,179401537.76,4271896349.74,2734796327.85,1145026920.0,2156830993.41
197,001872.SZ,20200416,20200416,20191231,1356460129.9,22296485467.35,19693715554.1,15034843495.12,21968172142.52,1922365124.0,11467166351.85
198,001896.SZ,20200327,20200327,20191231,1227374663.44,5002078200.23,545073386.16,3423998056.77,7264005457.94,1150587847.0,-537044876.33
199,001914.SZ,20200414,20200414,20191231,1094715782.09,3085335971.58,24662690.4,5915324705.89,4139001679.06,1060346060.0,3436866631.85
200,001965.SZ,20200418,20200418,20191231,1566251588.41,29037487228.41,38260496632.57,10880161420.29,11180836135.37,6178217338.0,12639504011.99
201,002004.SZ,20200415,20200415,20191231,2069503422.7,4680022007.08,1458649552.99,10058818575.5,10960277159.35,1979919191.0,2308984717.36
202,002006.SZ,20200416,20200416,20191231,282662665.2,269534732.39,41517197.05,1201144794.24,780235061.65,455160000.0,73386076.16
203,002007.SZ,20200324,20200324,20191231,964630552.29,495867952.03,201509059.78,5684882122.7,694476550.16,1403059020.0,4124912079.18
204,002011.SZ,20200321,20200321,20191231,1712846522.11,2116546857.57,1072839228.42,5932875958.41,4464587642.95,917212180.0,-845660682.76
205,002012.SZ,20200331,20200331,20191231,215254523.93,272738772.68,38856786.11,1189134675.5,422110320.09,467625470.0,464370567.31
206,002013.SZ,20200331,20200331,20191231,6931721890.32,779061448.71,1108407098.39,18420950442.24,12464128392.62,3608664457.0,4488890530.8
207,002014.SZ,20200228,20200228,20191231,458534590.24,430809317.36,68367303.87,1602574268.62,594622474.89,503616724.0,769618120.74
208,002019.SZ,20200415,20200415,20191231,945291891.59,2952995836.47,719117114.38,3520321195.43,2883316809.57,1236904577.0,3509791673.62
209,002020.SZ,20200402,20200402,20191231,408642653.7,2079072944.86,166572472.04,3485165681.4,1770292227.81,724872000.0,1187357629.04
